		n								solidezI								                   solidezII								solidezIII
12500                 8.103981256484985              0.004167318344116211             0.0044574737548828125
12600                 8.203786849975586             0.0041582584381103516              0.004038095474243164
12700                 8.328583240509033              0.004374980926513672             0.0041692256927490234
12800                 8.424596309661865              0.004174470901489258              0.004119396209716797
12900                 8.592885255813599             0.0043375492095947266              0.004169464111328125
13000                 8.794466018676758              0.004360198974609375              0.004248619079589844
13100                 8.880632638931274              0.004283428192138672               0.00421595573425293
13200                 9.411946773529053              0.004352569580078125              0.004186153411865234
13300                 9.171014547348022              0.004557371139526367              0.004410266876220703
13400                 9.258201599121094                0.0044097900390625             0.0042722225189208984
13500                  9.60615611076355              0.004822254180908203              0.004438161849975586
13600                 9.572145700454712              0.004441499710083008              0.004429817199707031
13700                 9.732388973236084              0.004479408264160156              0.004591703414916992
13800                10.203248023986816              0.004540205001831055             0.0044422149658203125
13900                 10.04221796989441              0.004558563232421875              0.004527091979980469
14000                10.369524002075195              0.004853248596191406              0.004469156265258789
14100                10.220309734344482              0.004961967468261719              0.004673480987548828
14200                10.528554677963257              0.004750728607177734              0.004484653472900391
14300                10.638126134872437              0.004874706268310547               0.00468897819519043
14400                 10.79935884475708              0.004860877990722656               0.00476837158203125
14500                10.891139268875122              0.004789590835571289             0.0046672821044921875
14600                11.006486415863037              0.004947185516357422              0.004776477813720703
14700                11.243993282318115             0.0048749446868896484              0.004780292510986328
14800                11.412117719650269              0.004873037338256836              0.004915952682495117
14900                11.554769277572632              0.004994869232177734              0.004799842834472656
15000                11.600548505783081              0.005175352096557617               0.00494694709777832
15100                11.846174240112305              0.005093574523925781              0.005017518997192383
15200                 12.04911470413208              0.005158185958862305             0.0049588680267333984
15300                12.177320718765259              0.005070924758911133              0.005016803741455078
15400                12.323311567306519              0.005133152008056641             0.0052950382232666016
15500                12.303298950195312             0.0052089691162109375             0.0050275325775146484
15600                12.688995122909546              0.005337238311767578              0.005280971527099609
15700                12.942410469055176             0.0052683353424072266               0.00529170036315918
15800                12.967550992965698              0.005216121673583984              0.005251169204711914
15900                12.963690519332886              0.005367755889892578              0.005362987518310547
16000                13.381466150283813              0.005321979522705078              0.005284786224365234
16100                13.438313722610474             0.0053462982177734375             0.0053250789642333984
16200                13.644379615783691              0.005583047866821289              0.005494832992553711
16300                13.831060409545898              0.005723237991333008              0.005408763885498047
16400                13.937079906463623              0.005670309066772461              0.005360841751098633
16500                14.190144777297974              0.005819082260131836              0.005396842956542969
16600                14.384317636489868              0.005631446838378906             0.0055887699127197266
16700                 14.68991470336914             0.0056035518646240234              0.005469322204589844
16800                 14.72582221031189              0.005975008010864258              0.005601406097412109
16900                14.882251977920532               0.00569915771484375              0.005972385406494141
17000                15.084118127822876              0.005696296691894531             0.0054895877838134766
17100                15.294482946395874              0.005890607833862305              0.005581855773925781
17200                15.322663068771362              0.005939483642578125              0.005928754806518555
17300                15.710011720657349              0.005806684494018555             0.0056993961334228516
17400                15.471490859985352              0.005942344665527344              0.005812644958496094
17500                16.615954637527466              0.005864143371582031              0.005730390548706055
17600                 16.26362919807434               0.00602269172668457              0.005744457244873047
17700                16.451948642730713             0.0058557987213134766              0.005749940872192383
17800                16.639040231704712             0.0060536861419677734              0.005997657775878906
17900                 17.15447473526001             0.0060079097747802734              0.005853176116943359
18000                16.748966217041016              0.006000518798828125              0.007277727127075195
18100                 17.30699372291565              0.005978107452392578             0.0059163570404052734
18200                17.178393602371216              0.005996227264404297              0.005873203277587891
18300                 17.47813630104065              0.005997896194458008             0.0059244632720947266
18400                17.780229091644287              0.006026268005371094              0.005847454071044922
18500                 18.11615777015686              0.006290912628173828              0.006064891815185547
18600                 18.49832057952881              0.012609243392944336              0.009063482284545898
18700                18.891088008880615              0.006217479705810547              0.006176471710205078
18800                19.068238258361816             0.0064198970794677734             0.0061893463134765625
18900                 18.97264575958252              0.006268024444580078                  0.00628662109375
19000                18.927245378494263                0.0065765380859375              0.006205081939697266
19100                19.115426540374756             0.0063931941986083984              0.006166934967041016
19200                 19.53900718688965             0.0062830448150634766              0.006303310394287109
19300                20.068115949630737              0.006350278854370117             0.0065615177154541016
19400                20.316125631332397              0.006419181823730469                 0.006317138671875
19500                19.934549808502197              0.006484270095825195              0.006447315216064453
19600                20.489339113235474              0.006537914276123047             0.0063974857330322266
19700                 20.85663342475891               0.00671076774597168             0.0064487457275390625
19800                 20.74871063232422              0.006688117980957031              0.006423473358154297
19900                21.203314781188965               0.00655364990234375              0.006377458572387695
20000                21.288622617721558              0.006758451461791992             0.0065042972564697266
